Mean,SD,Skew,Mean_Sim,SD_Sim,Skew_Sim,Median_RI_Score
0,3,-5,2.93417254468992e-17,2.91234804913622,-4.70972710772578,0.924923381868871
1,3,-5,1,3.19585418437461,-5.07796023829553,0.757775644924532
2,3,-5,2,3.02156471491277,-4.84029372939072,0.571146387469747
3,3,-5,3,2.86393971921186,-4.78304190547447,0.387963341498023
4,3,-5,4,2.86663470770093,-4.39740686548511,0.232269935131234
5,3,-5,5,2.70782365842867,-4.84091309047185,0.129847825423608
-5,4,-5,-5,4.07466367007257,-5.64415447738835,0.505248785078163
-4,4,-5,-4,3.9942219761605,-5.39062140811436,0.705999826151551
-3,4,-5,-3,3.71591416161626,-4.61990038517461,0.870347518182369
-2,4,-5,-1.62089580294813,4.09335550065668,-5.19968171946882,0.999648255816325
-1,4,-5,-1,3.92934226001611,-4.55313314826945,0.980048704963594
0,4,-5,7.29569128634505e-17,3.8909844804179,-4.67587002674506,0.872119586430138
1,4,-5,1,3.93454001698348,-5.43962681406227,0.69874268754013
2,4,-5,2,4.18967088232978,-5.24276669514889,0.48259894758849
3,4,-5,3,3.90771216686201,-4.93265782689068,0.320234302033042
4,4,-5,4,3.9853559178687,-4.71422199292667,0.17933918767821
5,4,-5,5,3.84881114893884,-4.70747963816542,0.0940277685126167
-5,5,-5,-5,5.37630751440768,-5.05805784918082,0.609818599723228
-4,5,-5,-4,4.99669606380627,-4.82868562098205,0.782345305558595
-3,5,-5,-3,5.00882107709787,-4.8187177314282,0.934999735116163
-2,5,-5,-1.95998623161772,5.12453615373729,-5.74150427607961,0.999460867623259
-1,5,-5,-1,5.01044522136548,-5.4997891146909,0.948501883678838
0,5,-5,5.58306872955327e-17,4.87602221920585,-4.81121111191422,0.813848737137725
1,5,-5,1,4.92370623334968,-5.16962929447991,0.624333447783285
2,5,-5,2,4.81468975324351,-4.56695181835709,0.423286198844676
3,5,-5,3,4.77600995484791,-4.70321108106995,0.26466869206496
4,5,-5,4,4.92566779912357,-4.91380837080392,0.146995924373055
5,5,-5,5,4.95431060515978,-5.43897046057891,0.0720521900223067
-5,6,-5,-5,5.91886607857633,-4.78721188467233,0.659492589389832
-4,6,-5,-4,5.85074462195974,-5.25258306035053,0.83240354525703
-3,6,-5,-3,6.12248437067115,-5.69291744476538,0.972320087822745
-2,6,-5,-2.48032615445541,6.22419037182544,-5.02933877487196,0.998958690221023
-1,6,-5,-1,6.04599790177051,-4.77612612796344,0.895169033864914
0,6,-5,1.77950709723262e-16,6.49672999770801,-5.00985023249817,0.69834844499478
1,6,-5,1,5.99562774670002,-4.84848890385856,0.533920137078615
2,6,-5,2,6.29460448599591,-6.08914253042679,0.351954427342798
3,6,-5,3,5.85979051676074,-4.47550891241865,0.205943232606711
4,6,-5,4,5.88019782795757,-4.90902838438697,0.106392038539985
5,6,-5,5,5.86257051168105,-4.78923715959134,0.0519369708689449
-5,0.5,-4,-5,0.50333162368445,-4.17730931847612,0.279117870542815
-4,0.5,-4,-4,0.486688540753846,-3.89969212743333,0.448893415700008
-3,0.5,-4,-3,0.507219740101205,-3.90726915026023,0.648685863209674
-2,0.5,-4,-2,0.479050625120898,-3.79911248471981,0.835205593239019
