Compound Name	Sample Type	Count
L-lysine [major]	Standard	7
L-methionine [major]	Plasma	62
L-methionine [major]	Soil Crust	1
L-methionine [major]	Standard	2
L-ornithine [major]	Plasma	84
L-ornithine [major]	Standard	6
L-phenylalanine [major]	CSF	203
L-phenylalanine [major]	Fungi	4
L-phenylalanine [major]	Plasma	88
L-phenylalanine [major]	Soil Crust	4
L-phenylalanine [major]	Standard	9
L-phenylalanine [major]	Urine	6
L-proline [major]	CSF	1
L-proline [major]	Fungi	11
L-proline [major]	Plasma	54
L-proline [major]	Soil Crust	2
L-proline [major]	Standard	6
L-pyroglutamic acid	CSF	174
L-pyroglutamic acid	Fungi	11
L-pyroglutamic acid	Plasma	88
L-pyroglutamic acid	Soil Crust	8
L-pyroglutamic acid	Standard	4
L-pyroglutamic acid	Urine	32
L-serine [major]	CSF	204
L-serine [major]	Fungi	15
L-serine [major]	Plasma	87
L-serine [major]	Soil Crust	6
L-serine [major]	Standard	9
L-serine [major]	Urine	66
L-threonine [major]	CSF	204
L-threonine [major]	Fungi	16
L-threonine [major]	Plasma	88
L-threonine [major]	Soil Crust	16
L-threonine [major]	Standard	10
L-threonine [major]	Urine	64
L-tyrosine [major]	Plasma	62
L-tyrosine [major]	Soil Crust	2
L-tyrosine [major]	Standard	10
L-tyrosine [major]	Urine	56
L-tyrosine [minor]	Fungi	7
L-tyrosine [minor]	Plasma	27
L-tyrosine [minor]	Soil Crust	12
L-tyrosine [minor]	Standard	9
L-valine [major]	CSF	30
L-valine [major]	Fungi	16
L-valine [major]	Soil Crust	13
L-valine [major]	Standard	8
lactic acid	Fungi	21
lactic acid	Soil Crust	12
oxalic acid	Fungi	15
oxalic acid	Plasma	84
oxalic acid	Standard	2
oxalic acid	Urine	65
sucrose	CSF	9
sucrose	Fungi	3
sucrose	Soil Crust	16
sucrose	Standard	14
sucrose	Urine	33
