Sample name,Compound Name,Retention Time
GCMS_FAMEs_01_GCMS02_20170215,[C10] Methyl Caprate [10.647],10.9534833333333
GCMS_FAMEs_01_GCMS02_20170215,[C12] Methyl Laurate [13.250],12.9239
GCMS_FAMEs_01_GCMS02_20170215,[C12] Methyl Laurate [13.250],13.2491833333333
GCMS_FAMEs_01_GCMS02_20170215,[C12] Methyl Laurate [13.250],13.2617
GCMS_FAMEs_01_GCMS02_20170215,[C12] Methyl Laurate [13.250],13.26795
GCMS_FAMEs_01_GCMS02_20170215,[C12] Methyl Laurate [13.250],13.38055
GCMS_FAMEs_01_GCMS02_20170215,[C14] Methyl Myristate [15.597],15.5699
GCMS_FAMEs_01_GCMS02_20170215,[C14] Methyl Myristate [15.597],15.5824166666667
GCMS_FAMEs_01_GCMS02_20170215,[C14] Methyl Myristate [15.597],15.5949166666667
GCMS_FAMEs_01_GCMS02_20170215,[C14] Methyl Myristate [15.597],15.6512166666667
GCMS_FAMEs_01_GCMS02_20170215,[C16] Methyl Palmitate [17.723],17.4840166666667
GCMS_FAMEs_01_GCMS02_20170215,[C16] Methyl Palmitate [17.723],17.4902833333333
GCMS_FAMEs_01_GCMS02_20170215,[C16] Methyl Palmitate [17.723],17.6716833333333
GCMS_FAMEs_01_GCMS02_20170215,[C16] Methyl Palmitate [17.723],17.69045
GCMS_FAMEs_01_GCMS02_20170215,[C16] Methyl Palmitate [17.723],17.7092166666667
GCMS_FAMEs_01_GCMS02_20170215,[C16] Methyl Palmitate [17.723],17.8781
GCMS_FAMEs_01_GCMS02_20170215,[C18] Methyl Stearate [19.663],19.3293333333333
GCMS_FAMEs_01_GCMS02_20170215,[C18] Methyl Stearate [19.663],19.3356
GCMS_FAMEs_01_GCMS02_20170215,[C18] Methyl Stearate [19.663],19.3856333333333
GCMS_FAMEs_01_GCMS02_20170215,[C18] Methyl Stearate [19.663],19.39815
GCMS_FAMEs_01_GCMS02_20170215,[C18] Methyl Stearate [19.663],19.4231666666667
GCMS_FAMEs_01_GCMS02_20170215,[C18] Methyl Stearate [19.663],19.5733
GCMS_FAMEs_01_GCMS02_20170215,[C18] Methyl Stearate [19.663],19.5983166666667
GCMS_FAMEs_01_GCMS02_20170215,[C18] Methyl Stearate [19.663],19.6170833333333
GCMS_FAMEs_01_GCMS02_20170215,[C20] Methyl Eicosanoate [21.441],21.3310333333333
GCMS_FAMEs_01_GCMS02_20170215,[C20] Methyl Eicosanoate [21.441],21.35605
GCMS_FAMEs_01_GCMS02_20170215,[C20] Methyl Eicosanoate [21.441],21.3810833333333
GCMS_FAMEs_01_GCMS02_20170215,[C20] Methyl Eicosanoate [21.441],21.4436333333333
GCMS_FAMEs_01_GCMS02_20170215,[C22] Methyl Docosanoate [23.082],22.7760166666667
GCMS_FAMEs_01_GCMS02_20170215,[C22] Methyl Docosanoate [23.082],22.7947833333333
GCMS_FAMEs_01_GCMS02_20170215,[C22] Methyl Docosanoate [23.082],22.81355
GCMS_FAMEs_01_GCMS02_20170215,[C22] Methyl Docosanoate [23.082],22.8198
GCMS_FAMEs_01_GCMS02_20170215,[C22] Methyl Docosanoate [23.082],22.9699333333333
GCMS_FAMEs_01_GCMS02_20170215,[C22] Methyl Docosanoate [23.082],22.9886833333333
GCMS_FAMEs_01_GCMS02_20170215,[C24] Methyl Linocerate [24.603],24.4461833333333
GCMS_FAMEs_01_GCMS02_20170215,[C24] Methyl Linocerate [24.603],24.4712
GCMS_FAMEs_01_GCMS02_20170215,[C24] Methyl Linocerate [24.603],24.4962166666667
GCMS_FAMEs_01_GCMS02_20170215,[C26] Methyl Hexacosanoate [26.023],25.8661333333333
GCMS_FAMEs_01_GCMS02_20170215,[C26] Methyl Hexacosanoate [26.023],25.8974
GCMS_FAMEs_01_GCMS02_20170215,[C26] Methyl Hexacosanoate [26.023],25.9412
GCMS_FAMEs_01_GCMS02_20170215,[C28] Methyl Octacosanoate [27.349],27.1672333333333
GCMS_FAMEs_01_GCMS02_20170215,[C28] Methyl Octacosanoate [27.349],27.17975
GCMS_FAMEs_01_GCMS02_20170216,[C8] Methyl Caprylate [7.812],7.8695
GCMS_FAMEs_01_GCMS02_20170216,[C8] Methyl Caprylate [7.812],7.88201666666667
GCMS_FAMEs_01_GCMS02_20170216,[C8] Methyl Caprylate [7.812],7.90703333333333
GCMS_FAMEs_01_GCMS02_20170216,[C8] Methyl Caprylate [7.812],7.9258
GCMS_FAMEs_01_GCMS02_20170216,[C8] Methyl Caprylate [7.812],8.05716666666667
GCMS_FAMEs_01_GCMS02_20170216,[C8] Methyl Caprylate [7.812],8.07593333333333
